date,new_cases,total_deaths
2020-03-04,1,NA
2020-03-05,0,NA
2020-03-06,4,NA
2020-03-07,0,NA
2020-03-08,6,NA
2020-03-09,5,NA
2020-03-10,6,NA
2020-03-11,9,NA
2020-03-12,18,1
2020-03-13,19,2
2020-03-14,35,3
2020-03-15,16,3
2020-03-16,58,4
2020-03-17,61,5
2020-03-18,13,5
2020-03-19,104,5
2020-03-20,70,5
2020-03-21,111,5
2020-03-22,98,7
2020-03-23,115,8
2020-03-24,152,10
2020-03-25,150,14
2020-03-26,170,16
2020-03-27,168,16
2020-03-28,249,18
2020-03-29,224,22
2020-03-30,193,31
2020-03-31,256,33
2020-04-01,243,43
2020-04-02,392,57
2020-04-03,437,71
2020-04-04,244,79
2020-04-05,475,94
2020-04-06,311,107
2020-04-07,435,129
2020-04-08,357,159
2020-04-09,370,174
2020-04-10,380,181
2020-04-11,401,208
2020-04-12,318,232
2020-04-13,260,245
2020-04-14,268,263
2020-04-15,380,286
2020-04-16,336,314
2020-04-17,461,332
2020-04-18,363,347
2020-04-19,545,360
2020-04-20,306,380
2020-04-21,263,401
2020-04-22,313,426
2020-04-23,342,454
2020-04-24,381,494
2020-04-25,381,524
2020-04-26,344,535
2020-04-27,285,562
2020-04-28,316,596
2020-04-29,422,624
2020-04-30,237,644
2020-05-01,228,651
2020-05-02,270,664
2020-05-03,318,678
2020-05-04,313,698
2020-05-05,425,716
2020-05-06,309,733
2020-05-07,307,755
2020-05-08,319,776
2020-05-09,285,785
2020-05-10,345,800
2020-05-11,330,811
2020-05-12,595,839
2020-05-13,283,861
2020-05-14,411,883
2020-05-15,401,907
2020-05-16,241,915
2020-05-17,272,925
2020-05-18,356,936
2020-05-19,383,948
2020-05-20,471,962
2020-05-21,404,972
2020-05-22,476,982
2020-05-23,312,993
2020-05-24,395,996
2020-05-25,305,1007
2020-05-26,443,1024
2020-05-27,399,1028
2020-05-28,352,1038
2020-05-29,330,1051
2020-05-30,416,1061
2020-05-31,215,1064
2020-06-01,379,1074
2020-06-02,230,1092
2020-06-03,292,1115
2020-06-04,361,1117
2020-06-05,362,1137
2020-06-06,576,1153
2020-06-07,575,1157
2020-06-08,599,1166
2020-06-09,400,1183
2020-06-10,282,1206
2020-06-11,359,1215
2020-06-12,376,1222
2020-06-13,440,1237
2020-06-14,375,1247
2020-06-15,396,1256
2020-06-16,407,1272
2020-06-17,506,1286
2020-06-18,314,1316
2020-06-19,301,1334
2020-06-20,304,1346
2020-06-21,311,1356
2020-06-22,296,1359
2020-06-23,300,1375
2020-06-24,294,1396
2020-06-25,298,1412
2020-06-26,276,1429
2020-06-27,319,1435
2020-06-28,193,1438
2020-06-29,247,1444
2020-06-30,239,1463
2020-07-01,382,1477
2020-07-02,371,1492
2020-07-03,259,1507
2020-07-04,314,1512
2020-07-05,231,1517
2020-07-06,205,1521
2020-07-07,257,1528
2020-07-08,277,1542
2020-07-09,262,1551
2020-07-10,265,1562
2020-07-11,305,1568
2020-07-12,370,1571
2020-07-13,299,1576
2020-07-14,267,1588
2020-07-15,264,1594
2020-07-16,333,1605
2020-07-17,353,1612
2020-07-18,339,1618
2020-07-19,358,1624
2020-07-20,279,1627
2020-07-21,399,1636
2020-07-22,380,1642
2020-07-23,418,1651
2020-07-24,458,1655
2020-07-25,584,1664
2020-07-26,443,1671
2020-07-27,337,1676
2020-07-28,502,1682
2020-07-29,512,1694
2020-07-30,615,1709
2020-07-31,657,1716
2020-08-01,658,1721
2020-08-02,548,1731
2020-08-03,575,1732
2020-08-04,680,1738
2020-08-05,640,1756
2020-08-06,726,1774
2020-08-07,809,1787
2020-08-08,843,1800
2020-08-09,624,1807
2020-08-10,619,1809
2020-08-11,551,1821
2020-08-12,715,1830
2020-08-13,811,1844
2020-08-14,832,1858
2020-08-15,771,1869
2020-08-16,594,1877
2020-08-17,595,1885
